Analyzing miko...

  error - lib/llm/llm_dart.dart:87:36 - The argument type 'String' can't be assigned to the parameter type 'int'.  - argument_type_not_assignable
warning - lib/models/tmdb/tmdb_m.dart:683:6 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:686:6 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:696:6 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:698:6 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:707:6 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:717:6 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:718:6 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:728:6 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:750:6 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:751:6 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:752:6 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:753:6 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:754:6 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:773:6 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:774:19 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:785:6 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:787:6 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:800:18 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:801:18 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:813:18 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:814:18 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:834:6 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:835:6 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:840:6 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:841:6 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:842:6 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:845:6 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:846:19 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:847:19 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:848:6 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:851:19 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:856:6 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:857:6 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:869:6 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
